"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Проверка создания и удаления груза Bulkership","tests_orders","Tue Jun 24 16:37:37 MSK 2025","broken","Tue Jun 24 16:37:37 MSK 2025","","test_order_freight","",""
"","0","Удаление одного заказа, 2 проверки","tests_orders","Tue Jun 24 16:31:40 MSK 2025","broken","Tue Jun 24 16:31:40 MSK 2025","","test_1order_del","",""
"","0","Комплексная проверка данных заказа и ГТД","tests_orders","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","test_order_gtd","",""
"","0","Проверка создания и удаления груза Container","tests_orders","Tue Jun 24 16:39:37 MSK 2025","broken","Tue Jun 24 16:39:37 MSK 2025","","test_order_freight","",""
"","0","Полная проверка экспедирования (создание, атрибуты, таблица)","tests_orders","Tue Jun 24 16:36:53 MSK 2025","broken","Tue Jun 24 16:36:53 MSK 2025","","test_order_forwarding","",""
"","15","Проверка создания и удаления морской перевозки","tests_orders","Tue Jun 24 16:46:13 MSK 2025","passed","Tue Jun 24 16:46:13 MSK 2025","","test_order_transportation","",""
"","0","Проверка создания заказа с типом 'Другие услуги', 20 проверок","tests_orders","Tue Jun 24 16:32:24 MSK 2025","broken","Tue Jun 24 16:32:24 MSK 2025","","test_2order_dr","",""
"","94","Проверка создание заказа с типом Логистика 46 проверок","tests_orders","Wed Jun 25 10:20:03 MSK 2025","failed","Wed Jun 25 10:20:03 MSK 2025","","test_order","",""
"","0","Проверка создания и удаления автоперевозки","tests_orders","Tue Jun 24 16:46:13 MSK 2025","passed","Tue Jun 24 16:46:13 MSK 2025","","test_order_transportation","",""
"","0","Редактирование заказа: проверка полей после обновления","tests_orders","Tue Jun 24 16:46:14 MSK 2025","broken","Tue Jun 24 16:46:14 MSK 2025","","test_order_update","",""
