"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Проверка создания и удаления перевозок","tests_orders","Tue Sep 02 16:42:31 MSK 2025","failed","Tue Sep 02 16:42:31 MSK 2025","","Заказ","",""
"","0","Проверка Таблицы Грузы","tests_freight","Tue Sep 02 16:20:14 MSK 2025","broken","Tue Sep 02 16:20:14 MSK 2025","","test_freight","",""
"","0","Проверка создания и удаления груза Container","tests_orders","Tue Sep 02 16:39:32 MSK 2025","passed","Tue Sep 02 16:39:32 MSK 2025","","test_order_freight_container","",""
"","0","Проверка создание и редактирование заказа с типом Логистика 46 проверок","tests_orders","Tue Sep 02 16:24:38 MSK 2025","passed","Tue Sep 02 16:24:38 MSK 2025","","test_order","",""
"","0","Проверка Таблицы Экспедирование 72 проверки","","Tue Sep 02 16:12:54 MSK 2025","skipped","Tue Sep 02 16:12:54 MSK 2025","","","",""
"","109","Проверка Таблицы Экспедирование 72 проверки","tests_forwarding","Tue Sep 02 16:20:14 MSK 2025","failed","Tue Sep 02 16:20:14 MSK 2025","","test_forwarding","",""
"","0","Полная проверка экспедирования (создание, атрибуты, таблица, 30 проверок)","tests_orders","Tue Sep 02 16:35:34 MSK 2025","passed","Tue Sep 02 16:35:34 MSK 2025","","test_order_forwarding","",""
"","15","Проверка создания и удаления груза Bulkership, 35 проверок","tests_orders","Tue Sep 02 16:37:36 MSK 2025","passed","Tue Sep 02 16:37:36 MSK 2025","","test_order_freight_bulkership","",""
"","0","Проверка создание Входящий платеж в заказе. 39 проверок","tests_orders","Tue Sep 02 16:32:32 MSK 2025","passed","Tue Sep 02 16:32:32 MSK 2025","","test_order_del","",""
"","0","Проверка Таблицы Грузы","","Tue Sep 02 16:16:02 MSK 2025","skipped","Tue Sep 02 16:16:02 MSK 2025","","","",""
"","0","Проверка Таблицы Грузы","tests_finance","Tue Sep 02 16:14:23 MSK 2025","broken","Tue Sep 02 16:14:23 MSK 2025","","test_finance_is","",""
"","16","Проверка Таблицы Автоперевозка 104 проверки","tests_transportation","Tue Sep 02 16:46:52 MSK 2025","failed","Tue Sep 02 16:46:52 MSK 2025","","test_transportation","",""
"","0","Комплексная проверка данных заказа и ГТД","tests_orders","Tue Sep 02 16:39:32 MSK 2025","broken","Tue Sep 02 16:39:32 MSK 2025","","test_order_gtd","",""
"","0","Проверка создание Входящий платеж в заказе. 19 проверок","tests_orders","Tue Sep 02 16:32:32 MSK 2025","broken","Tue Sep 02 16:32:32 MSK 2025","","test_order_finance","",""
